AUC,ACC@0.50,Prec@0.50,Rec@0.50,F1@0.50,ACC@0.60,Prec@0.60,Rec@0.60,F1@0.60,ACC@0.65,Prec@0.65,Rec@0.65,F1@0.65,test_year,n,w_xgb,w_lstm,w_cnn
0.562101749770564,0.696486122844895,0.5543071161048689,0.04536630223766221,0.08386853041178693,0.694233236334053,0.6190476190476191,0.0039848778992541125,0.007918781725888325,0.693889045339341,0.75,0.0006130581383467866,0.001225114854517611,2023,31959,1.0,0.0,0.0
0.5167247771167865,0.5518482525285247,0.24161130982796797,0.44446185179382736,0.31304827586206896,0.6001871648130152,0.2446774019237004,0.35469215102616325,0.2895881299565106,0.6228988950077385,0.24753330044400593,0.3144289519034937,0.27699951694154995,2024,27783,0.0,0.0,1.0
0.5164208667591046,0.5523881510276069,0.24218417241673057,0.4454018486605045,0.31376227789427213,0.6042903934060396,0.2444863127562895,0.3456055146482845,0.2863819291185252,0.628981751430731,0.2477830613031744,0.302052326492245,0.27223948037277607,2024,27783,0.0,0.1,0.9
0.5161298630562198,0.5533239750926826,0.2428534857923031,0.44587184709384303,0.3144403933267042,0.6087175610985135,0.24389408810773797,0.33479555068149774,0.2822053482997689,0.6353885469531728,0.24726831242411978,0.28716904276985744,0.2657291968686576,2024,27783,0.0,0.2,0.8
0.5158418609009621,0.5533599683259547,0.24278640942462013,0.4455585148049506,0.3143062386030834,0.6139725731562466,0.24356248523505789,0.32304558984803383,0.2777291400094282,0.644638807904114,0.24841407151095732,0.2699357668807771,0.2587281327426984,2024,27783,0.0,0.3,0.7
0.5154627434730981,0.5529640427599611,0.24251471466348204,0.4454018486605045,0.31403954490224234,0.6206673145448656,0.243836291913215,0.3098856337145543,0.27292169713694375,0.654572940287226,0.24796110414052697,0.24768917436941876,0.24782506466023982,2024,27783,0.0,0.4,0.6
0.5148402224952084,0.5488968074002087,0.23953921734711164,0.4430518564938117,0.31095717191709277,0.6293056905301804,0.24551598648297374,0.2959423468588438,0.2683810470981033,0.6669546125328438,0.24718111346018323,0.2198026006579978,0.23268927771788706,2024,27783,0.0,0.5,0.5
0.5137981144424222,0.5455494367058993,0.23810722376038257,0.44461851793827356,0.3101300404327396,0.6373321815498686,0.24207291521162175,0.2715024283252389,0.25594446905922313,0.678184501313753,0.24409763905562226,0.19113269622434592,0.21439240839996485,2024,27783,0.0,0.6,0.4
0.512262771585154,0.546485260770975,0.2385838028761248,0.44446185179382736,0.3104957863631389,0.6435230176726775,0.23649154318215837,0.24753250822497258,0.24188609920391918,0.680416081776626,0.23726315789473684,0.17656274479085068,0.20246115153148297,2024,27783,0.0,0.7,0.3
0.5104120466015891,0.5457653961055322,0.23716814159292035,0.4408585304715651,0.30841736080666377,0.6496778605622143,0.23370429252782193,0.23029923233589222,0.2319892685236329,0.6813519058417018,0.23565924657534246,0.1724894250352499,0.19918588873812754,2024,27783,0.0,0.8,0.2
0.5077809741413012,0.5451535111399057,0.23441481229828434,0.4323985586714711,0.30401498044831193,0.651333549292733,0.23860759493670886,0.23625254582484725,0.23742423049673306,0.6796602238779109,0.23432552248258393,0.17389942033526554,0.19964028776978418,2024,27783,0.0,0.9,0.1
0.5047033665651021,0.5370910268869452,0.22972296395193592,0.4313018956603478,0.29977677356127835,0.6448187740704747,0.2369811320754717,0.24596584678051073,0.241389913899139,0.6763488464168737,0.24029464463468048,0.1890960363465455,0.21164299491495703,2024,27783,0.0,1.0,0.0
